Designator,Mid X,Mid Y,Rotation,Layer
A101,130.0,-85.915,0.0,top
C101,158.242,-96.012,270.0,top
D101,159.004,-63.754,0.0,top
J101,143.764,-102.108,0.0,top
J102,153.0,-61.5,270.0,top
J103,152.0,-117.5,270.0,top
J104,144.0,-117.5,270.0,top
J105,143.51,-66.553,180.0,top
R101,143.637,-93.853,270.0,top
R102,158.75,-108.712,90.0,top
R103,133.81,-116.0,0.0,top
R104,133.81,-120.0,0.0,top
R105,158.496,-74.168,270.0,top
RV101,149.86,-83.82,0.0,top
RV102,149.858,-73.66,0.0,top
SW101,147.32,-59.436,90.0,top
U101,150.69,-100.076,0.0,top
